"","year","trait","GEN","value"
"405",17,"FN","L0577",221.41345026
"406",17,"FN","L0403",210.56426833
"407",17,"FN","L0931",237.39888566
"408",17,"FN","L0642",143.22621404
"409",17,"FN","L0437",270.21783172
"410",17,"FN","L1010",167.94688993
"411",17,"FN","L0237",173.29183844
"412",17,"FN","L1365",141.67701585
"413",17,"FN","L0397",214.50799579
"414",17,"FN","L1120",188.48426826
"415",17,"FN","L1126",247.51926671
"416",17,"FN","L0827",204.27899511
"417",17,"FN","L0332",171.46817664
"418",17,"FN","L0898",213.85033283
"419",17,"FN","L0401",216.7674541
"420",17,"FN","L0375",183.59774269
"421",17,"FN","L0281",290.31194873
"422",17,"FN","L1165",201.59230707
"423",17,"FN","L0746",141.55719069
"424",17,"FN","L1254",212.88916113
"425",17,"FN","L0347",309.29145141
"426",17,"FN","L0352",180.17565651
"427",17,"FN","L1355",201.46523119
"428",17,"FN","L0672",246.48338912
"429",17,"FN","L0010",234.31660591
"430",17,"FN","L0079",201.61469322
"431",17,"FN","L0610",283.32147808
"432",17,"FN","L0326",152.71644109
"433",17,"FN","L0328",187.66690409
"434",17,"FN","L0670",187.90130194
"435",17,"FN","L1135",104.55078328
"436",17,"FN","L0449",225.50637052
"437",17,"FN","L0442",252.87211233
"438",17,"FN","L0608",106.99341065
"439",17,"FN","L0930",130.0877329
"440",17,"FN","L0402",234.19577091
"441",17,"FN","L0220",280.00838331
"442",17,"FN","L0772",168.04174062
"443",17,"FN","L1016",258.36243275
"444",17,"FN","L0278",206.04760107
"445",17,"FN","L0445",220.83997889
"446",17,"FN","L0091",261.78692987
"447",17,"FN","L0168",245.51454786
"448",17,"FN","L0262",152.80222946
"449",17,"FN","L1100",218.34040623
"450",17,"FN","L0158",186.01053081
"451",17,"FN","L0798",216.1840579
"452",17,"FN","L0795",143.96140828
"453",17,"FN","L0128",172.17220011
"454",17,"FN","L0398",120.13761498
"455",17,"FN","L0767",228.25059578
"456",17,"FN","L0019",149.24611163
"457",17,"FN","L1182",227.87028865
"458",17,"FN","L0539",121.90396933
"459",17,"FN","L0534",222.4823122
"460",17,"FN","L0535",166.76653477
"461",17,"FN","L0475",224.86493411
"462",17,"FN","L1308",225.4125015
"463",17,"FN","L0466",232.77593269
"464",17,"FN","L1358",195.11546486
"465",17,"FN","L0413",209.72866902
"466",17,"FN","L0044",187.38829958
"467",17,"FN","L0448",209.34645136
"468",17,"FN","L0493",243.21093394
"469",17,"FN","L0988",226.08375887
"470",17,"FN","L0524",153.55521897
"471",17,"FN","L1330",190.90940541
"472",17,"FN","L0679",166.02009344
"473",17,"FN","L1302",125.15158758
"474",17,"FN","L0710",231.53787303
"475",17,"FN","L0765",226.66341556
"476",17,"FN","L0899",231.9178438
"477",17,"FN","L0083",123.19069446
"478",17,"FN","L0422",210.22270125
"479",17,"FN","L0409",140.45844224
"480",17,"FN","L1036",235.31297521
"481",17,"FN","L0018",189.40127248
"482",17,"FN","L1366",232.29267951
"483",17,"FN","L0655",235.77683588
"484",17,"FN","L0379",230.20311105
"485",17,"FN","L1332",238.49162846
"486",17,"FN","L1246",275.65436001
"487",17,"FN","L0780",283.14891416
"488",17,"FN","L0548",235.92498836
"489",17,"FN","L0480",121.52924068
"490",17,"FN","L0282",283.68724802
"491",17,"FN","L0793",183.8946129
"492",17,"FN","L0236",234.62132173
"493",17,"FN","L0270",118.85617231
"494",17,"FN","L0884",234.86473072
"495",17,"FN","L0771",175.67603676
"496",17,"FN","L0452",153.02754293
"497",17,"FN","L1123",245.56770725
"498",17,"FN","L0970",108.87961177
"499",17,"FN","L0618",187.48191477
"500",17,"FN","L0258",148.82173674
"501",17,"FN","L0698",203.45000187
"502",17,"FN","L1164",149.0575673
"503",17,"FN","L0049",230.58236241
"504",17,"FN","L1152",107.80431455
"505",17,"FN","L0981",116.01198412
"506",17,"FN","L1079",155.33359049
"507",17,"FN","L0266",249.23705611
"508",17,"FN","L0246",142.68307933
"509",17,"FN","L0680",226.48912443
"510",17,"FN","L0696",118.98304536
"511",17,"FN","L0661",165.80631149
"512",17,"FN","L0171",236.67530195
"513",17,"FN","L0789",169.24882457
"514",17,"FN","L0690",160.29531745
"515",17,"FN","L0163",206.45663437
"516",17,"FN","L0039",204.61537284
"517",17,"FN","L0944",217.65821348
"518",17,"FN","L0879",168.15336074
"519",17,"FN","L1232",245.26902166
"520",17,"FN","L0990",209.6083296
"521",17,"FN","L1138",256.2210099
"522",17,"FN","L1367",209.32354793
"523",17,"FN","L0081",201.95350337
"524",17,"FN","L0939",128.06660102
"525",17,"FN","L0238",211.44403717
"526",17,"FN","L0029",216.2326838
"527",17,"FN","L0740",267.8301363
"528",17,"FN","L1353",166.90818824
"529",17,"FN","L1059",252.21915639
"530",17,"FN","L0607",216.32106768
"531",17,"FN","L1122",194.58538407
"532",17,"FN","L0080",245.56798806
"533",17,"FN","L1369",187.47859784
"534",17,"FN","L1242",238.96236422
"535",17,"FN","L0205",192.69436219
"536",17,"FN","L0717",195.62470473
"537",17,"FN","L1256",161.77048567
"538",17,"FN","L1067",128.9808387
"539",17,"FN","L0712",121.1742522
"540",17,"FN","L1071",133.40207828
"541",17,"FNt","L0985",5.13177036
"542",17,"FNt","L0983",1.36925445
"543",17,"FNt","L0970",2.74544986
"544",17,"FNt","L0285",4.9270701
"545",17,"FNt","L1113",4.31801532
"546",17,"FNt","L0959",5.10863589
"547",17,"FNt","L0094",4.82626704
"548",17,"FNt","L0171",5.12221387
"549",17,"FNt","L0339",4.6333566
"550",17,"FNt","L0447",4.75767032
"551",17,"FNt","L0103",4.85431571
"552",17,"FNt","L0086",4.56396299
"553",17,"FNt","L0535",4.81257775
"554",17,"FNt","L1308",5.14807171
"555",17,"FNt","L0480",0.78148804
"556",17,"FNt","L0193",4.98804626
"557",17,"FNt","L0991",5.00864907
"558",17,"FNt","L0679",4.20835898
"559",17,"FNt","L0246",2.86800274
"560",17,"FNt","L1225",4.65179123
"561",17,"FNt","L0426",5.39060824
"562",17,"FNt","L0117",0.752402650000001
"563",17,"FNt","L1152",0.55385427
"564",17,"FNt","L1332",5.11228463
"565",17,"FNt","L0744",3.28853416
"566",17,"FNt","L1369",4.65242562
"567",17,"FNt","L0662",0.821710410000001
"568",17,"FNt","L0177",4.94169479
"569",17,"FNt","L0379",5.00614092
"570",17,"FNt","L1265",5.13186701
"571",17,"FNt","L1120",1.17697778
"572",17,"FNt","L0413",4.84322548
"573",17,"FNt","L0220",5.47082163
"574",17,"FNt","L0788",5.35464993
"575",17,"FNt","L0635",4.73014964
"576",17,"FNt","L0630",5.2679637
"577",17,"FNt","L0827",4.96626855
"578",17,"FNt","L0242",5.55884728
"579",17,"FNt","L0160",5.05977337
"580",17,"FNt","L0290",5.06404027
"581",17,"FNt","L0988",5.04231343
"582",17,"FNt","L0450",5.05435248
"583",17,"FNt","L0344",5.12208578
"584",17,"FNt","L0194",5.1003721
"585",17,"FNt","L0530",4.53203556
"586",17,"FNt","L1010",4.5628864
"587",17,"FNt","L0400",5.00742994
"588",17,"FNt","L0459",5.15200126
"589",17,"FNt","L1190",4.6758141
"590",17,"FNt","L0445",4.91084786
"591",17,"FNt","L0120",3.15833269
"592",17,"FNt","L1024",5.42176722
"593",17,"FNt","L0421",3.72098645
"594",17,"FNt","L1307",3.74819997
"595",17,"FNt","L1034",5.0773341
"596",17,"FNt","L0878",5.19374483
"597",17,"FNt","L0607",5.0418353
"598",17,"FNt","L1336",4.77666565
"599",17,"FNt","L0770",5.65772406
"600",17,"FNt","L0416",5.33272202
"601",17,"FNt","L1340",3.89271569
"602",17,"FNt","L0204",4.44246589
